task_id,workflow_type,department,step_name,step_number,total_steps,employee_id,priority,start_time,end_time,step_duration_hours,expected_duration_hours,delay_flag,inefficiency_score
TASK0001,Performance Review,Finance,Self Assessment,1,5,EMP015,Low,2024-05-20 08:00:00,2024-05-20 18:17:23,10.2898,3.0,1,2.4299
TASK0001,Performance Review,Finance,Peer Review,2,5,EMP007,Low,2024-05-20 18:59:56,2024-05-21 07:08:02,12.1349,4.0,1,2.0337
TASK0001,Performance Review,Finance,Manager Evaluation,3,5,EMP035,Low,2024-05-21 08:38:56,2024-05-21 22:44:44,14.0966,4.0,1,2.5242
TASK0001,Performance Review,Finance,HR Processing,4,5,EMP028,Low,2024-05-21 23:22:34,2024-05-22 11:35:14,12.2111,3.0,1,3.0704
TASK0001,Performance Review,Finance,Finalization,5,5,EMP006,Low,2024-05-22 12:08:05,2024-05-22 18:04:57,5.9478,2.0,1,1.9739
TASK0002,Vendor Registration,HR,Application,1,5,EMP035,Medium,2024-11-28 10:00:00,2024-11-28 12:05:49,2.097,2.0,0,0.0485
TASK0002,Vendor Registration,HR,Document Verification,2,5,EMP029,Medium,2024-11-28 13:13:34,2024-11-28 19:00:57,5.7897,4.0,1,0.4474
TASK0002,Vendor Registration,HR,Finance Check,3,5,EMP001,Medium,2024-11-28 20:23:59,2024-11-29 04:00:46,7.613,6.0,1,0.2688
TASK0002,Vendor Registration,HR,Legal Clearance,4,5,EMP011,Medium,2024-11-29 05:39:03,2024-11-29 15:37:05,9.9672,10.0,0,-0.0033
TASK0002,Vendor Registration,HR,Activation,5,5,EMP022,Medium,2024-11-29 17:09:55,2024-11-29 19:36:15,2.4387,2.0,0,0.2194
TASK0003,Contract Review,Procurement,Draft Submission,1,5,EMP007,Low,2024-02-17 09:00:00,2024-02-17 14:39:41,5.6617,3.0,1,0.8872
TASK0003,Contract Review,Procurement,Legal Review,2,5,EMP023,Low,2024-02-17 15:42:00,2024-02-18 21:52:48,30.1801,16.0,1,0.8863
TASK0003,Contract Review,Procurement,Compliance Check,3,5,EMP003,Low,2024-02-18 23:17:08,2024-02-19 16:43:51,17.4453,8.0,1,1.1807
TASK0003,Contract Review,Procurement,Management Approval,4,5,EMP035,Low,2024-02-19 18:19:32,2024-02-19 23:27:43,5.1363,4.0,1,0.2841
TASK0003,Contract Review,Procurement,Signing,5,5,EMP025,Low,2024-02-20 00:08:57,2024-02-20 02:52:26,2.7249,2.0,1,0.3624
TASK0004,Purchase Order,Procurement,PO Creation,1,5,EMP003,Medium,2024-12-26 08:00:00,2024-12-26 10:50:24,2.8401,2.0,1,0.4201
TASK0004,Purchase Order,Procurement,Budget Check,2,5,EMP050,Medium,2024-12-26 12:19:55,2024-12-26 16:09:34,3.8277,3.0,1,0.2759
TASK0004,Purchase Order,Procurement,Procurement Review,3,5,EMP006,Medium,2024-12-26 17:05:37,2024-12-27 03:17:49,10.2034,6.0,1,0.7006
TASK0004,Purchase Order,Procurement,Vendor Confirmation,4,5,EMP007,Medium,2024-12-27 05:04:48,2024-12-27 10:19:04,5.2377,4.0,1,0.3094
TASK0004,Purchase Order,Procurement,Delivery,5,5,EMP030,Medium,2024-12-27 11:23:16,2024-12-28 14:56:29,27.5535,24.0,0,0.1481
TASK0005,Compliance Audit,IT,Audit Initiation,1,5,EMP043,High,2024-06-30 08:00:00,2024-06-30 10:11:53,2.1983,2.0,0,0.0992
TASK0005,Compliance Audit,IT,Document Gathering,2,5,EMP044,High,2024-06-30 11:05:55,2024-06-30 17:35:30,6.4929,8.0,0,-0.1884
TASK0005,Compliance Audit,IT,Review,3,5,EMP039,High,2024-06-30 19:03:49,2024-07-01 05:24:05,10.3378,12.0,0,-0.1385
TASK0005,Compliance Audit,IT,Finding Report,4,5,EMP035,High,2024-07-01 06:51:14,2024-07-01 10:30:02,3.6468,6.0,0,-0.3922
TASK0005,Compliance Audit,IT,Sign-off,5,5,EMP011,High,2024-07-01 12:05:40,2024-07-01 14:22:00,2.2724,3.0,0,-0.2425
TASK0006,Purchase Order,Legal,PO Creation,1,5,EMP003,High,2024-01-29 08:00:00,2024-01-29 11:38:57,3.6492,2.0,1,0.8246
TASK0006,Purchase Order,Legal,Budget Check,2,5,EMP026,High,2024-01-29 13:21:24,2024-01-29 17:28:44,4.1223,3.0,1,0.3741
TASK0006,Purchase Order,Legal,Procurement Review,3,5,EMP014,High,2024-01-29 18:22:50,2024-01-30 05:53:43,11.5147,6.0,1,0.9191
TASK0006,Purchase Order,Legal,Vendor Confirmation,4,5,EMP037,High,2024-01-30 07:45:54,2024-01-30 14:02:50,6.2823,4.0,1,0.5706
TASK0006,Purchase Order,Legal,Delivery,5,5,EMP021,High,2024-01-30 15:51:43,2024-02-01 08:12:09,40.3408,24.0,1,0.6809
TASK0007,Budget Approval,Compliance,Budget Draft,1,4,EMP009,Critical,2024-03-14 09:00:00,2024-03-14 15:39:00,6.6502,6.0,0,0.1084
TASK0007,Budget Approval,Compliance,Finance Review,2,4,EMP036,Critical,2024-03-14 16:31:12,2024-03-15 06:20:03,13.8142,8.0,1,0.7268
TASK0007,Budget Approval,Compliance,CFO Approval,3,4,EMP048,Critical,2024-03-15 07:38:34,2024-03-15 17:41:44,10.0528,8.0,1,0.2566
TASK0007,Budget Approval,Compliance,Notification,4,4,EMP038,Critical,2024-03-15 19:04:20,2024-03-15 20:03:57,0.9935,1.0,0,-0.0065
TASK0008,Contract Review,IT,Draft Submission,1,5,EMP008,Critical,2024-02-16 08:00:00,2024-02-16 10:26:43,2.4455,3.0,0,-0.1848
TASK0008,Contract Review,IT,Legal Review,2,5,EMP011,Critical,2024-02-16 11:10:29,2024-02-16 19:38:24,8.4653,16.0,0,-0.4709
TASK0008,Contract Review,IT,Compliance Check,3,5,EMP028,Critical,2024-02-16 21:19:41,2024-02-17 03:09:43,5.8339,8.0,0,-0.2708
TASK0008,Contract Review,IT,Management Approval,4,5,EMP025,Critical,2024-02-17 04:33:24,2024-02-17 06:15:33,1.7026,4.0,0,-0.5744
TASK0008,Contract Review,IT,Signing,5,5,EMP030,Critical,2024-02-17 07:19:54,2024-02-17 08:21:35,1.0281,2.0,0,-0.4859
TASK0009,Vendor Registration,HR,Application,1,5,EMP049,Low,2024-12-15 10:00:00,2024-12-15 12:58:21,2.9726,2.0,1,0.4863
TASK0009,Vendor Registration,HR,Document Verification,2,5,EMP042,Low,2024-12-15 13:52:22,2024-12-15 20:26:15,6.5648,4.0,1,0.6412
TASK0009,Vendor Registration,HR,Finance Check,3,5,EMP019,Low,2024-12-15 21:26:52,2024-12-16 06:19:19,8.8741,6.0,1,0.479
TASK0009,Vendor Registration,HR,Legal Clearance,4,5,EMP030,Low,2024-12-16 07:28:26,2024-12-16 21:26:36,13.9692,10.0,1,0.3969
TASK0009,Vendor Registration,HR,Activation,5,5,EMP047,Low,2024-12-16 21:56:53,2024-12-17 00:38:09,2.6878,2.0,1,0.3439
TASK0010,Purchase Order,IT,PO Creation,1,5,EMP041,Low,2024-11-16 09:00:00,2024-11-16 10:49:52,1.8312,2.0,0,-0.0844
TASK0010,Purchase Order,IT,Budget Check,2,5,EMP013,Low,2024-11-16 12:05:33,2024-11-16 15:25:52,3.3385,3.0,0,0.1128
TASK0010,Purchase Order,IT,Procurement Review,3,5,EMP049,Low,2024-11-16 16:09:37,2024-11-16 23:14:30,7.0814,6.0,0,0.1802
TASK0010,Purchase Order,IT,Vendor Confirmation,4,5,EMP050,Low,2024-11-16 23:59:03,2024-11-17 06:17:00,6.2994,4.0,1,0.5749
TASK0010,Purchase Order,IT,Delivery,5,5,EMP001,Low,2024-11-17 08:10:02,2024-11-18 17:30:41,33.3442,24.0,1,0.3893
TASK0011,Budget Approval,HR,Budget Draft,1,4,EMP016,Low,2024-07-04 09:00:00,2024-07-04 14:33:16,5.5546,6.0,0,-0.0742
